,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss
,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
0,0.1093752533197403,3341.422119140625,0.015788478776812553,,,,,,,,,,,,
1,0.10121697187423706,6579.67236328125,0.00871197134256363,,,,,,,,,,,,
2,0.09932764619588852,7293.06201171875,0.008515751920640469,,,,,,,,,,,,
3,0.08482646942138672,1945.749755859375,0.014114311896264553,,,,,,,,,,,,
4,0.10160217434167862,6627.3701171875,0.007388839032500982,,,,,,,,,,,,
5,0.09829777479171753,7037.98388671875,0.012933393009006977,,,,,,,,,,,,
6,0.10198648273944855,6762.16748046875,0.005396039690822363,1.0,0.09910766780376434,2.0,16.61615562438965,0.7666666507720947,0.20000000298023224,-18.419809341430664,0.0,0.019999999552965164,-0.12473946809768677,-0.10214478522539139,0.008630733005702496
7,0.09814237803220749,8700.140625,0.0022115211468189955,,,,,,,,,,,,
8,0.09627397358417511,7635.240234375,0.014389739371836185,,,,,,,,,,,,
9,0.07649236917495728,1506.1026611328125,0.007822682149708271,,,,,,,,,,,,
10,0.09188520908355713,9151.193359375,0.01789288967847824,,,,,,,,,,,,
11,0.10961881279945374,4493.42236328125,0.006202520336955786,,,,,,,,,,,,
12,0.0947348028421402,2401.9873046875,0.002366336528211832,1.0,0.097420334815979,2.0,79.8232650756836,0.8999999761581421,0.20000000298023224,-18.38605308532715,0.0,0.019999999552965164,-0.137375608086586,-0.12410350888967514,0.00179969216696918
13,0.09171202033758163,10133.1416015625,0.012119712308049202,,,,,,,,,,,,
14,0.10722938925027847,5309.46533203125,0.004233123268932104,,,,,,,,,,,,
15,0.07627921551465988,1536.1728515625,0.01626552641391754,,,,,,,,,,,,
16,0.09356595575809479,2415.467041015625,0.012846984900534153,,,,,,,,,,,,
17,0.10768555849790573,4158.50244140625,0.01435913611203432,,,,,,,,,,,,
18,0.0863412469625473,2068.1044921875,0.01785508543252945,1.0,0.09668061137199402,2.0,133.26795959472656,0.8999999761581421,0.20000000298023224,-18.21601676940918,-1.1920928955078125e-07,0.019999999552965164,-0.14062374830245972,-0.12670990824699402,0.0006905534537509084
19,0.08593723177909851,1929.1593017578125,0.0011260126484557986,,,,,,,,,,,,
20,0.10777973383665085,3918.9775390625,0.016738973557949066,,,,,,,,,,,,
21,0.09559543430805206,2442.4267578125,0.0059540956281125546,,,,,,,,,,,,
22,0.09764057397842407,8763.3916015625,0.003172817174345255,,,,,,,,,,,,
23,0.09505381435155869,8669.033203125,0.011244824156165123,,,,,,,,,,,,
24,0.10076959431171417,6178.390625,0.012755175121128559,1.0,0.09619162231683731,2.0,602.97802734375,0.8999999761581421,0.20000000298023224,-17.89685821533203,1.1920928955078125e-07,0.019999999552965164,-0.14139755070209503,-0.1273362636566162,0.00016892855637706816
25,0.1107126846909523,4455.056640625,0.004204320255666971,,,,,,,,,,,,
26,0.09899146854877472,2737.944091796875,0.016218721866607666,,,,,,,,,,,,
27,0.09989101439714432,7241.216796875,0.007252025417983532,,,,,,,,,,,,
28,0.09463833272457123,9886.3583984375,0.004459945950657129,,,,,,,,,,,,
29,0.10772883147001266,4653.10546875,0.009086408652365208,,,,,,,,,,,,
30,0.0967497006058693,7051.46337890625,0.01703600399196148,1.0,0.0973777025938034,2.0,827.33984375,0.8999999761581421,0.20000000298023224,-17.38560676574707,0.0,0.019999999552965164,-0.15868298709392548,-0.14283142983913422,4.378120502224192e-05
31,0.09487388283014297,2448.64794921875,0.011156615801155567,,,,,,,,,,,,
32,0.0990823358297348,7841.583984375,0.005369036924093962,,,,,,,,,,,,
33,0.09945543855428696,8142.2861328125,0.0022727272007614374,,,,,,,,,,,,
34,0.09647811949253082,7943.20068359375,0.011644463986158371,,,,,,,,,,,,
35,0.10910322517156601,4246.63916015625,0.009993699379265308,,,,,,,,,,,,
36,0.11094973236322403,3276.09716796875,0.004351935349404812,1.0,0.09769647568464279,2.0,1267.1712646484375,0.8999999761581421,0.20000000298023224,-16.59549903869629,-1.1920928955078125e-07,0.019999999552965164,-0.13032309710979462,-0.1173032596707344,2.7653526558424346e-05
37,0.10494070500135422,4455.056640625,0.017621062695980072,,,,,,,,,,,,
38,0.0653248205780983,938.9163208007812,0.009469847194850445,,,,,,,,,,,,
39,0.0937974601984024,10293.861328125,0.004233123268932104,,,,,,,,,,,,
40,0.1083986684679985,4455.056640625,0.009401439689099789,,,,,,,,,,,,
41,0.09884122759103775,6908.37060546875,0.012607560493052006,,,,,,,,,,,,
