,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss
,value,value,value,value,value,value,value,value,value
0,0.10280993580818176,6957.478515625,0.002026171889156103,,,,,,
1,0.11126506328582764,3311.5166015625,0.005189878866076469,,,,,,
2,0.1061517670750618,5311.39453125,0.006755130831152201,,,,,,
3,0.09415937215089798,10073.685546875,0.004695116076618433,,,,,,
4,0.11073626577854156,4147.4423828125,0.007385978940874338,1.0,0.10359650105237961,2.0,,,
5,0.09784320741891861,8739.28515625,0.0027740751393139362,,,,,,
6,0.07386045902967453,1375.4423828125,0.011283155530691147,,,,,,
7,0.10093450546264648,2871.55029296875,0.01759393885731697,,,,,,
8,0.08951541036367416,10258.3671875,0.018181897699832916,1.0,0.09972000122070312,3.0,,,
9,0.10141942650079727,6178.962890625,0.011104543693363667,,,,,,
10,0.10298800468444824,5837.025390625,0.009904169477522373,,,,,,
11,0.10298800468444824,5837.025390625,0.009904169477522373,,,,0.027828283607959747,0.0010000000474974513,
12,0.10314975678920746,5806.57421875,0.00976191833615303,1.0,0.0995558351278305,3.0,0.019921986386179924,0.0010000000474974513,0.017457403242588043
13,0.10314975678920746,5806.57421875,0.00976191833615303,,,,0.013564195483922958,0.0010000000474974513,
14,0.10322675853967667,5799.85107421875,0.009630385786294937,,,,0.009023239836096764,0.0010000000474974513,-0.01932966709136963
15,0.10322675853967667,5799.85107421875,0.009630385786294937,,,,0.005952566862106323,0.0010000000474974513,
16,0.10324094444513321,5811.27734375,0.009501282125711441,1.0,0.10046400129795074,2.0,0.003602581797167659,0.0010000000474974513,-0.06002068892121315
17,0.10324094444513321,5811.27734375,0.009501282125711441,,,,0.002204770687967539,0.0010000000474974513,
18,0.1032361313700676,5828.69775390625,0.009365376085042953,,,,0.001485422719269991,0.0010000000474974513,-0.10160482674837112
19,0.1032361313700676,5828.69775390625,0.009365376085042953,,,,0.0010906640673056245,0.0010000000474974513,
20,0.10324560850858688,5843.26123046875,0.009218821302056313,1.0,0.10101889818906784,2.0,0.0013752850936725736,0.0010000000474974513,-0.13165372610092163
21,0.10324560850858688,5843.26123046875,0.009218821302056313,,,,0.0019100570352748036,0.0010000000474974513,
22,0.10332460701465607,5838.97509765625,0.009061736054718494,,,,0.002396737225353718,0.0010000000474974513,-0.14125379920005798
23,0.10332460701465607,5838.97509765625,0.009061736054718494,,,,0.0026345907244831324,0.0010000000474974513,
24,0.1034475713968277,5823.10693359375,0.008895131759345531,1.0,0.10139666497707367,2.0,0.0020261581521481276,0.0010000000474974513,-0.13482442498207092
25,0.1034475713968277,5823.10693359375,0.008895131759345531,,,,0.0016272272914648056,0.0010000000474974513,
26,0.10360273718833923,5798.37158203125,0.008723127655684948,,,,0.001307775964960456,0.0010000000474974513,-0.12128052115440369
27,0.10360273718833923,5798.37158203125,0.008723127655684948,,,,0.0009106466313824058,0.0010000000474974513,
28,0.10378996282815933,5765.2880859375,0.00854623131453991,1.0,0.1017007827758789,2.0,0.0005265441141091287,0.0010000000474974513,-0.10628723353147507
29,0.10378996282815933,5765.2880859375,0.00854623131453991,,,,0.00035275286063551903,0.0010000000474974513,
30,0.10399652272462845,5724.49560546875,0.008371534757316113,,,,0.00026223924942314625,0.0010000000474974513,-0.09400515258312225
31,0.10399652272462845,5724.49560546875,0.008371534757316113,,,,0.0002698819153010845,0.0010000000474974513,
32,0.10422933846712112,5674.283203125,0.00820181705057621,1.0,0.10197487473487854,2.0,0.00036069212364964187,0.0010000000474974513,-0.0858643427491188
33,0.10422933846712112,5674.283203125,0.00820181705057621,,,,0.00033297546906396747,0.0010000000474974513,
34,0.10450052469968796,5620.75390625,0.008034886792302132,,,,0.0004079739155713469,0.0010000000474974513,-0.08200812339782715
35,0.10450052469968796,5620.75390625,0.008034886792302132,,,,0.0004848918179050088,0.0010000000474974513,
