,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss
,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
0,0.0977100059390068,6518.4951171875,0.018321331590414047,,,,,,,,,,,,
1,0.09539595991373062,8903.3740234375,0.008850584737956524,,,,,,,,,,,,
2,0.09591367095708847,7858.1748046875,0.013772277161478996,,,,,,,,,,,,
3,0.09518261253833771,8941.7392578125,0.00923222303390503,,,,,,,,,,,,
4,0.09414198994636536,9387.607421875,0.009244824759662151,,,,,,,,,,,,
5,0.09667176753282547,8722.9521484375,0.006200720090419054,,,,,,,,,,,,
6,0.09903812408447266,7602.0595703125,0.007100810296833515,,,,,,,,,,,,
7,0.09889284521341324,8038.595703125,0.004481547977775335,,,,,,,,,,,,
8,0.09825297445058823,8718.8046875,0.0017722771735861897,,,,,,,,,,,,
9,0.06627901643514633,985.5769653320312,0.010816381312906742,,,,,,,,,,,,
10,0.0591706708073616,599.8487548828125,0.005714671686291695,,,,,,,,,,,,
11,0.0949111133813858,9805.4794921875,0.0040873088873922825,,,,,,,,,,,,
12,0.09576135873794556,9234.1455078125,0.005511251278221607,,,,,,,,,,,,
13,0.07335271686315536,1323.6075439453125,0.003856885712593794,,,,,,,,,,,,
14,0.09520701318979263,9213.408203125,0.0072808279655873775,,,,,,,,,,,,
15,0.0962851420044899,9276.6591796875,0.0036714670713990927,,,,,,,,,,,,
16,0.0960034430027008,8828.716796875,0.007417641580104828,,,,,,,,,,,,
17,0.08938311785459518,10888.0068359375,0.014632763341069221,,,,,,,,,,,,
18,0.08508828282356262,1929.1593017578125,0.008720971643924713,,,,,,,,,,,,
19,0.10150545835494995,6461.46533203125,0.008837983943521976,,,,,,,,,,,,
20,0.06211306154727936,747.089111328125,0.007685868535190821,,,,,,,,,,,,
21,0.09006132930517197,10169.4326171875,0.01734023354947567,,,,,,,,,,,,
22,0.10106091946363449,6331.8525390625,0.0108253825455904,,,,,,,,,,,,
23,0.09684918820858002,8702.2138671875,0.005842484068125486,,,,,,,,,,,,
24,0.10125818848609924,2892.44287109375,0.016580557450652122,,,,,,,,,,,,
25,0.07124382257461548,1269.6885986328125,0.014823582023382187,,,,,,,,,,,,
26,0.09633071720600128,8033.4111328125,0.01148424856364727,,,,,,,,,,,,
27,0.09522321075201035,2526.415771484375,0.016434744000434875,,,,,,,,,,,,
28,0.09439067542552948,10345.70703125,0.001977497711777687,,,,,,,,,,,,
29,0.0985548347234726,6735.2080078125,0.014467147178947926,,,,,,,,,,,,
30,0.09245015680789948,10222.3154296875,0.009070207364857197,,,,,,,,,,,,
31,0.10052047669887543,6559.97119140625,0.01064356416463852,,,,,,,,,,,,
32,0.10699466615915298,4690.43408203125,0.01038253866136074,,,,,,,,,,,,
33,0.09166697412729263,10683.7373046875,0.00847074668854475,,,,,,,,,,,,
34,0.09858394414186478,6938.44091796875,0.013059405609965324,,,,,,,,,,,,
35,0.09843694418668747,6226.08837890625,0.018395138904452324,,,,,,,,,,,,
36,0.10144185274839401,6185.64892578125,0.01099459920078516,,,,,,,,,,,,
37,0.10552089661359787,5371.6796875,0.007612061221152544,,,,,,,,,,,,
38,0.1014845222234726,7474.52001953125,0.0015040504513308406,,,,,,,,,,,,
39,0.09394052624702454,9874.9521484375,0.006765976548194885,,,,,,,,,,,,
40,0.09430613368749619,9802.369140625,0.0059828981757164,,,,,,,,,,,,
41,0.08923228085041046,10840.3095703125,0.0155274523422122,,,,,,,,,,,,
42,0.1082429587841034,5172.59423828125,0.0030522053129971027,,,,,,,,,,,,
43,0.10548611730337143,4809.677734375,0.012702969834208488,,,,,,,,,,,,
44,0.08201009780168533,1762.2177734375,0.002605760470032692,,,,,,,,,,,,
45,0.0905458927154541,10457.6923828125,0.013729073107242584,,,,,,,,,,,,
46,0.09731778502464294,7785.59130859375,0.010549955070018768,,,,,,,,,,,,
47,0.08933617174625397,2097.1376953125,0.0010342034511268139,,,,,,,,,,,,
48,0.09919948130846024,6354.6640625,0.015554455108940601,,,,,,,,,,,,
49,0.09890670329332352,2672.619140625,0.010184518061578274,,,,,,,,,,,,
50,0.11074083298444748,3737.519287109375,0.011887488886713982,1.0,-0.20313480496406555,1.0,0.026191482320427895,0.6980000138282776,0.20000000298023224,-18.409635543823242,0.0,0.019999999552965164,-0.14719991385936737,-0.12051846832036972,0.012430854141712189
51,0.09447536617517471,9744.302734375,0.005851485300809145,,,,,,,,,,,,
52,0.06431132555007935,902.6246337890625,0.013748874887824059,,,,,,,,,,,,
53,0.10548941045999527,5110.3798828125,0.009993699379265308,,,,,,,,,,,,
54,0.09883666783571243,8371.4423828125,0.0024617461021989584,,,,,,,,,,,,
55,0.09941716492176056,8146.43408203125,0.002348334761336446,,,,,,,,,,,,
56,0.09705041348934174,9167.7841796875,0.00214671459980309,,,,,,,,,,,,
57,0.0919155552983284,9805.4794921875,0.01375067513436079,,,,,,,,,,,,
58,0.09673775732517242,7124.046875,0.016512151807546616,,,,,,,,,,,,
59,0.0956885814666748,7528.439453125,0.01656975783407688,,,,,,,,,,,,
60,0.09622238576412201,9507.888671875,0.002177317626774311,,,,,,,,,,,,
61,0.09637077152729034,7362.53466796875,0.01593429408967495,,,,,,,,,,,,
62,0.10870964825153351,3993.634521484375,0.013639063574373722,,,,,,,,,,,,
63,0.11189688742160797,4024.74169921875,0.005993699189275503,,,,,,,,,,,,
64,0.09832344949245453,7752.41064453125,0.00806930661201477,,,,,,,,,,,,
65,0.09500106424093246,9645.796875,0.00500900112092495,,,,,,,,,,,,
66,0.09767526388168335,8493.796875,0.004767776932567358,,,,,,,,,,,,
67,0.0990295335650444,7629.01904296875,0.006924392655491829,,,,,,,,,,,,
68,0.10781320184469223,5451.52099609375,0.0015922592720016837,,,,,,,,,,,,
69,0.09482838958501816,8521.79296875,0.012616561725735664,,,,,,,,,,,,
70,0.10181070119142532,2822.97021484375,0.010494149290025234,,,,,,,,,,,,
71,0.0950319841504097,8735.3955078125,0.010836184024810791,,,,,,,,,,,,
72,0.0935664102435112,9739.1181640625,0.008729972876608372,,,,,,,,,,,,
73,0.10442841798067093,5789.5517578125,0.006791179068386555,,,,,,,,,,,,
74,0.1044190526008606,4642.736328125,0.017003599554300308,,,,,,,,,,,,
75,0.09209102392196655,9698.6787109375,0.013705670833587646,,,,,,,,,,,,
76,0.08387520164251328,1870.0557861328125,0.00818271841853857,,,,,,,,,,,,
77,0.06747584789991379,1022.905517578125,0.007617461960762739,,,,,,,,,,,,
78,0.11489322781562805,3742.703857421875,0.002445544581860304,,,,,,,,,,,,
79,0.09561749547719955,9842.80859375,0.0017470746533945203,,,,,,,,,,,,
80,0.10960341989994049,3383.935302734375,0.016108911484479904,,,,,,,,,,,,
81,0.09844911098480225,8644.1474609375,0.0015850585186854005,,,,,,,,,,,,
82,0.09731752425432205,2543.00634765625,0.007167416624724865,,,,,,,,,,,,
83,0.07475369423627853,1472.9217529296875,0.017901889979839325,,,,,,,,,,,,
84,0.10664922744035721,5252.435546875,0.00594149436801672,,,,,,,,,,,,
85,0.0914597287774086,10221.2783203125,0.012312331236898899,,,,,,,,,,,,
86,0.10302818566560745,6568.2666015625,0.004234923515468836,,,,,,,,,,,,
87,0.09940874576568604,7188.3349609375,0.00890819076448679,,,,,,,,,,,,
88,0.0726812481880188,1333.9765625,0.013376237824559212,,,,,,,,,,,,
89,0.08195075392723083,1803.6939697265625,0.01187488716095686,,,,,,,,,,,,
90,0.1000485047698021,2762.829833984375,0.013840683735907078,,,,,,,,,,,,
91,0.09540044516324997,9601.2099609375,0.004035103600472212,,,,,,,,,,,,
