,ep_max_height,ep_spring_k,ep_zeta
,value,value,value
0,0.10905346274375916,4632.3671875,0.0060585057362914085
1,0.09664973616600037,8783.0927734375,0.005835283547639847
2,0.11003894358873367,4077.623779296875,0.009540054015815258
3,0.10364516824483871,5224.439453125,0.01334923505783081
4,0.10418321192264557,5796.81005859375,0.007324032485485077
5,0.09836989641189575,7273.36083984375,0.011219621635973454
6,0.09896612167358398,7028.65185546875,0.011253825388848782
7,0.09887967258691788,2645.65966796875,0.010584158822894096
8,0.10236727446317673,6879.33740234375,0.0036930693313479424
9,0.09789660573005676,8113.2529296875,0.006755175534635782
10,0.09762614220380783,7215.29443359375,0.013419441878795624
11,0.09937357902526855,6199.12890625,0.01617191731929779
12,0.062357332557439804,757.4581298828125,0.0025571556761860847
13,0.10020416975021362,6101.65966796875,0.01467236690223217
14,0.10138002038002014,7255.7333984375,0.0032916292548179626
15,0.09115103632211685,10293.861328125,0.012798380106687546
