,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss
,value,value,value,value,value,value,value,value,value
0,0.10040747374296188,6945.578125,0.008234978653490543,,,,,,
1,0.09616174548864365,9231.5107421875,0.004351368173956871,,,,,,
2,0.06586228311061859,980.7565307617188,0.01880762353539467,,,,,,
3,0.10003094375133514,6420.23486328125,0.01289014145731926,,,,,,
4,0.09487531334161758,8500.6650390625,0.012628000229597092,1.0,0.09061550348997116,3.0,,,
5,0.08308474719524384,1831.6705322265625,0.004343669395893812,,,,,,
6,0.07788516581058502,1576.42041015625,0.010690508410334587,,,,,,
7,0.1021510660648346,6134.1767578125,0.009624107740819454,,,,,,
8,0.09045711904764175,10375.6533203125,0.014583353884518147,1.0,0.09005724638700485,3.0,,,
9,0.11072782427072525,4318.48681640625,0.005500508472323418,,,,,,
10,0.10409636050462723,5503.60595703125,0.010048683732748032,,,,,,
11,0.10409636050462723,5503.60595703125,0.010048683732748032,,,,0.011846816167235374,0.0010000000474974513,
12,0.10379388928413391,5575.611328125,0.01013939455151558,1.0,0.09415291994810104,3.0,0.006940042600035667,0.0010000000474974513,-0.056684236973524094
13,0.10379388928413391,5575.611328125,0.01013939455151558,,,,0.003175194375216961,0.0010000000474974513,
14,0.10351675748825073,5646.7587890625,0.010162193328142166,,,,0.0011770847486332059,0.0010000000474974513,-0.09192638099193573
15,0.10351675748825073,5646.7587890625,0.010162193328142166,,,,0.0003738818923011422,0.0010000000474974513,
16,0.10330206900835037,5717.07080078125,0.010132687166333199,1.0,0.096528559923172,2.0,0.0008706647204235196,0.0010000000474974513,-0.11643154919147491
17,0.10330206900835037,5717.07080078125,0.010132687166333199,,,,0.0013463221257552505,0.0010000000474974513,
18,0.1030864343047142,5787.4033203125,0.01008039340376854,,,,0.0018226318061351776,0.0010000000474974513,-0.12044532597064972
19,0.1030864343047142,5787.4033203125,0.01008039340376854,,,,0.0018003100994974375,0.0010000000474974513,
20,0.10289107263088226,5857.92138671875,0.010010899044573307,1.0,0.097861647605896,2.0,0.001431762590073049,0.0010000000474974513,-0.11262869834899902
21,0.10289107263088226,5857.92138671875,0.010010899044573307,,,,0.0008696685545146465,0.0010000000474974513,
22,0.10269100219011307,5928.609375,0.009926903992891312,,,,0.0004295891849324107,0.0010000000474974513,-0.101976677775383
23,0.10269100219011307,5928.609375,0.009926903992891312,,,,0.0002234273124486208,0.0010000000474974513,
24,0.10249501466751099,5999.31982421875,0.009832526557147503,1.0,0.09868320822715759,2.0,0.00023571826750412583,0.0010000000474974513,-0.09341593086719513
25,0.10249501466751099,5999.31982421875,0.009832526557147503,,,,0.0002043091953964904,0.0010000000474974513,
26,0.10229858756065369,6069.26123046875,0.009729685261845589,,,,0.000272033445071429,0.0010000000474974513,-0.08852259814739227
27,0.10229858756065369,6069.26123046875,0.009729685261845589,,,,0.0003549495595507324,0.0010000000474974513,
28,0.10213371366262436,6140.42041015625,0.009617784060537815,1.0,0.09921374917030334,2.0,0.00040065706707537174,0.0010000000474974513,-0.08738884329795837
29,0.10213371366262436,6140.42041015625,0.009617784060537815,,,,0.00046818231930956244,0.0010000000474974513,
30,0.10195377469062805,6212.35546875,0.009495379403233528,,,,0.0004730517975986004,0.0010000000474974513,-0.0896848663687706
31,0.10195377469062805,6212.35546875,0.009495379403233528,,,,0.00037895364221185446,0.0010000000474974513,
32,0.10177326202392578,6288.150390625,0.009362730197608471,1.0,0.09956753253936768,2.0,0.00031539026531390846,0.0010000000474974513,-0.09432689845561981
33,0.10177326202392578,6288.150390625,0.009362730197608471,,,,0.00023390042770188302,0.0010000000474974513,
34,0.10158582031726837,6367.125,0.009221714921295643,,,,0.00015683137462474406,0.0010000000474974513,-0.09996186196804047
35,0.10158582031726837,6367.125,0.009221714921295643,,,,0.00010631303302943707,0.0010000000474974513,
36,0.10144773125648499,6450.99658203125,0.009066171944141388,1.0,0.09980219602584839,2.0,8.181948942365125e-05,0.0010000000474974513,-0.10500507056713104
37,0.10144773125648499,6450.99658203125,0.009066171944141388,,,,5.588806016021408e-05,0.0010000000474974513,
38,0.1012544259428978,6542.57080078125,0.00889703817665577,,,,0.0001278597628697753,0.0010000000474974513,-0.1085837185382843
39,0.1012544259428978,6542.57080078125,0.00889703817665577,,,,0.0001584401907166466,0.0010000000474974513,
40,0.1010306179523468,6643.677734375,0.008714363910257816,1.0,0.09995707869529724,2.0,0.00015651305147912353,0.0010000000474974513,-0.10969019681215286
41,0.1010306179523468,6643.677734375,0.008714363910257816,,,,8.715958392713219e-05,0.0010000000474974513,
